Gas Id,Product name,Unit Price
0,"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)","KSh 22,000"
1,"Nunix 50 * 55cm Cooker, 4 Gas Burners, Gas Oven (1YR WRTY)","KSh 18,480"
2,Nunix 2 Gas Burner Table Top – GCModel,"KSh 2,530"
3,"Nunix SC-001, 2 Burner Table Top Cooker","KSh 1,760"
4,AILYONS LYNS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,"KSh 2,489"
5,"Nunix 50 * 60cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)","KSh 23,625"
6,"Mika Free Standing Cooker,50cm X 60cm,3 Gas+1 Hot Plate, Button Ignition, Electric Oven+1YEAR WARRANTY","KSh 32,999"
7,Ramtons EB/303 4 Gas 55x55 Dark Red Cooker,"KSh 21,999"
8,Nunix 3 Burner Auto Ignition Table Top Cooker Plus Free 6kg Regulator And Pipe,"KSh 3,050"
9,Nunix Free Standing 4 Gas Burner Cooker With Oven,"KSh 19,999"
10,Nunix 3gas + 1 Electric Free Standing Oven Gas Cooker,"KSh 24,500"
11,Nunix 4 Burner Table Top Gas Cooker Stove - Metallic Grey,"KSh 4,545"
12,Nunix Auto Ignition Stainless Steel 2 Burner Gas Cooker,"KSh 2,499"
13,"Sarah 50X50 Free Standing 3 Gas Pool Jet Burners + 1 Electric Hotplate,Electric Oven Cooker","KSh 24,599"
14,"Nunix Table Top Gas Cooker,2 Burner+Regulator+Pipe","KSh 2,645"
15,Nunix Table Top Double Burner Gas Stove Cooker + Pipe & 6 kg Regulator,"KSh 2,578"
16,Eurochef Table Top Stainless Steel two Burner Gas Cooker Plus 6kg Regulator And Pipe,"KSh 2,288"
17,Nunix 3 Burner Auto Ignition Table Top Cooker Plus Free 6kg Regulator And Pipe,"KSh 2,999"
18,Rashnik Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe -rsnk,"KSh 2,349"
19,Nunix 3 +1 ( 3 gas +1 electric) Automatic Standing Burner ,"KSh 9,599"
20,Nunix Glass Table Top Double Burner Gas Stove + Pipe & Regulator,"KSh 4,339"
21,"Nunix Free Standing 3 Gas + 1 Electric Hotplate,Electric Oven Cooker","KSh 23,999"
22,Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,"KSh 2,779"
23,"Mika 50cmx 60cm,3 Gas+1 Hot Plate, Button Ignition,Standing Cooker Electric Oven","KSh 32,999"
24,Ramtons EB/303 4 Gas 55x55 Cooker - Dark Red,"KSh 21,999"
25,"AILYONS Table Top Gas Cooker,2 Burner With a Strong Glass","KSh 2,795"
26,Nunix Table Top Double Burner Gas Stove Cooker + FREE  Pipe & Regulator,"KSh 3,690"
27,Nunix Gas Stove 4 Burner 3 gas +1 electric table top cooker 3+1 Gas Cooker,"KSh 5,499"
28,TC 14 Pieces Aluminium Cooking Pot Sufuria Set,"KSh 5,750"
29,Nunix Auto Ignition Table Top Stainless Steel 2 Burner Gas Cooker,"KSh 2,599"
30,Strong Non-leak Meko Gas Burner,KSh 780
31,Nunix 3 burner Infrared Gas Burner Cooker,"KSh 4,999"
32,Nunix 2 burner infra-red glass tampered table top burner with ,"KSh 3,999"
33,AILYONS Glass Table Top Double Burner Gas Stove + Pipe & Regulator,"KSh 3,645"
34,"Nunix 2 Burner Infra-red Glass Tampered Table Top Burner plus 6kg Regulator,Pipes and Fixing Clips","KSh 4,439"
35,Nunix Free Standing 3 Gas Burner +1 Electric Cooker With Oven,"KSh 25,799"
36,Premier Auto Ignition 4Gas Cooker With Storage shelves+GIFTS,"KSh 9,999"
37,Nunix Free Standing 4 Gas Burner Cooker With Oven,"KSh 20,780"
38,"Sarah Standing Cooker,50cmx50cm,3 Gas Pool Jet Burners +1 Hot Plate-Electric Oven","KSh 24,799"
39,"Nunix Table Top Stainless Steel 2 Burner Gas Cooker Plus 13kg Regulator, tightener, And Pipe","KSh 3,799"
40,Advantages of Gas stoves ,
