Names,Loacation,Address,Value,Comments
4 Bedroom House,Ruiru,"Ruiru, Ruiru",KSh 15 000 000,"New site alert!Spacious residences perfect for familiesMugutha,RuiruType:"
4 Bedroom House,Membley,"Membley, Ruiru",KSh 24 500 000,Luxurious Modern 4 all ensuite Bedroom with SQ Villas in Membley for sale 4Bedroom All
4 Bedroom House,Thogoto,"Thogoto, Kikuyu",KSh 16 000 000,For sale!Ksh.16MA place to call Home!presents a stunning modern flatroofed
3 Bedroom House,Ruiru,"Ruiru, Ruiru",KSh 11 000 000,"Location: Ruiru Mugutha, near Spur Mall  Asking Price: KES 11M—Discover your"
4 Bedroom House,Ruiru,"KENYATA ROAD, Ruiru, Ruiru",KSh 40 000 000,"This is a New, Spacious, 4 Bedroom Double Story House.All en suite.Separate sitting"
3 Bedroom House,Ruiru,"Ruiru, Ruiru, Ruiru",KSh 10 500 000,This bungalow in the last stages of finishing comes with modernity at it's best some of the
6 Bedroom House,Kikuyu,"Kamangu Area Kiambu County, Kikuyu, Kikuyu",KSh 22 000 000,Located in Kikuyu Kamangu. 6 bedroom maisonette plus DSQ and office room with great view of
4 Bedroom House,Ruiru,"Ruiru, Ruiru, Ruiru",KSh 14 500 000,*spacious 4 bedroom villas in ruiru* Location; RUIRU  KIMBO 4 Bedroom
4 Bedroom House,Ruiru,"Membley Estate Ruiru, Ruiru, Ruiru",KSh 28 000 000,"For Sale: Elegant 4Bedroom Villa in Membley, Ruiru Location: Membley, Ruiru Price:"
6 Bedroom House,Ruiru,"Ruiru, Ruiru, Ruiru",KSh 22 000 000,Ruiru Mugutha5 bedrooms all ensuite Flatroof house with a DSQ within a gated
3 Bedroom House,Ruiru,"Ruiru, Ruiru, Ruiru",KSh 9 500 000,Selling brand new flat roof  3bedrooms house along thika rd ruiru . About 2.5km from thika
3 Bedroom House,Ruiru,"Ruiru, Ruiru",KSh 11 000 000,"Location: Ruiru Mugutha, near Spur Mall  Asking Price: KES 11M—Discover your"
4 Bedroom House,Kikuyu,"Gikambura Kiambu County, Kikuyu, Kikuyu",KSh 25 000 000,Kikuyu  Gikambura  Spacious and Brand New 4 Bedroom House  All Ensuite  Study Room
4 Bedroom House,Kikuyu,"Lussingetti, Kikuyu, Kikuyu",KSh 25 000 000,"Home is where the heart is, and this beautiful home that’s on sale within the exclusive"
4 Bedroom House,Thindigua,"Njathaini Rd KE, Thindigua, Kiambu",KSh 35 000 000,Introducing Beautiful and Modern 4 & 5 Bedroom AllEnsuite Townhouses – Your Dream Home
4 Bedroom House,Kiambu,"Off Kiambu Road, Kiambu, Kiambu",KSh 23 000 000,Exceptional MediterraneanStyle Mansion in Migaa Golf Estate – Kiambu RoadDiscover an
5 Bedroom House,Membley,"Membley Estate Ruiru, Membley, Ruiru",KSh 25 000 000,"House MEMBLEY park Estate, Kisima Court 5spacious Bedrooms All Ensuite.Master"
4 Bedroom House,Ruiru,"Jubilee I Dr, Mugutha, Ruiru, Ruiru",KSh 15 800 000,Now Selling our New project comprising of Spectacular 4 BEDROOM All Ensuite Flat Roof
4 Bedroom House,Membley,"Membley, Ruiru",KSh 33 000 000,Luxurious Modern 4 Bedroom Villas with SQ for sale in Membley  On a 50 × 100
4 Bedroom House,Membley,"Membley, Ruiru",KSh 29 000 000,Luxurious Modern 4 Bedroom Villas with SQ for sale in Membley  On a 50 × 100
4 Bedroom House,Ruiru,"Ruiru, Ruiru",KSh 14 500 000,*spacious 4 bedroom villas in ruiru* Location; RUIRU  KIMBO4 Bedroom
