Sr. No.,Player,Base Price,Winning Bid,
0,Rishabh Pant,"2,00,00,000 ","₹27,00,00,000",
1,Shreyas Iyer,"2,00,00,000 ","₹26,75,00,000",
2,Venkatesh Iyer,"2,00,00,000 ","₹23,75,00,000",
3,Arshdeep Singh,"2,00,00,000 ","₹18,00,00,000",  
4,Yuzvendra Chahal,"2,00,00,000 ","₹18,00,00,000",
5,Jos  Buttler   ,"2,00,00,000 ","₹15,75,00,000",
6,KL Rahul,"2,00,00,000 ","₹14,00,00,000",
7,Trent Boult  ,"2,00,00,000 ","₹12,50,00,000",
8,Jofra Archer  ,"2,00,00,000 ","₹12,50,00,000",
9,Josh Hazlewood   ,"2,00,00,000 ","₹12,50,00,000",
10,Mohammad Siraj,"2,00,00,000 ","₹12,25,00,000",
11,Mitchell Starc  ,"2,00,00,000 ","₹11,75,00,000",
12,Phil Salt  ,"2,00,00,000 ","₹11,50,00,000",
13,Ishan Kishan,"2,00,00,000 ","₹11,25,00,000",
14,Marcus Stoinis  ,"2,00,00,000 ","₹11,00,00,000",
15,Jitesh Sharma,"1,00,00,000 ","₹11,00,00,000",
16,T. Natarajan,"2,00,00,000 ","₹10,75,00,000",
17,Kagiso Rabada  ,"2,00,00,000 ","₹10,75,00,000",
18,Bhuvneshwar Kumar,"2,00,00,000 ","₹10,75,00,000",
19,Noor Ahmad  ,"2,00,00,000 ","₹10,00,00,000",
20,Rishabh Pant,"2,00,00,000 ","₹27,00,00,000",
21,Shreyas Iyer,"2,00,00,000 ","₹26,75,00,000",
22,Venkatesh Iyer,"2,00,00,000 ","₹23,75,00,000",
23,Arshdeep Singh,"2,00,00,000 ","₹18,00,00,000",  
24,Yuzvendra Chahal,"2,00,00,000 ","₹18,00,00,000",
25,Jos  Buttler   ,"2,00,00,000 ","₹15,75,00,000",
26,KL Rahul,"2,00,00,000 ","₹14,00,00,000",
27,Trent Boult  ,"2,00,00,000 ","₹12,50,00,000",
28,Jofra Archer  ,"2,00,00,000 ","₹12,50,00,000",
29,Josh Hazlewood   ,"2,00,00,000 ","₹12,50,00,000",
30,Mohammad Siraj,"2,00,00,000 ","₹12,25,00,000",
31,Mitchell Starc  ,"2,00,00,000 ","₹11,75,00,000",
32,Phil Salt  ,"2,00,00,000 ","₹11,50,00,000",
33,Ishan Kishan,"2,00,00,000 ","₹11,25,00,000",
34,Marcus Stoinis  ,"2,00,00,000 ","₹11,00,00,000",
35,Jitesh Sharma,"1,00,00,000 ","₹11,00,00,000",
36,T. Natarajan,"2,00,00,000 ","₹10,75,00,000",
37,Kagiso Rabada  ,"2,00,00,000 ","₹10,75,00,000",
38,Bhuvneshwar Kumar,"2,00,00,000 ","₹10,75,00,000",
39,Noor Ahmad  ,"2,00,00,000 ","₹10,00,00,000",
