Product Description,Unit Price.1
Promate Satchel-BP SLaptop Backpack WithleekComfort 15.," KSh4,500"
Promate Mogul-TR Secag for 16” Laptop ureStorage Trolley b," KSh9,500"
X509JB-EJ, KSh326
New MacBook Pro 13.," KSh1,989"
Lenovo Yoga 7 ," KSh180,000"
Lenovo IdeaPad i3 ," KSh50,000"
Promate TrekPack-BP al Slim Laptop Backp17.," KSh7,500"
Promate Satchel-HB S Tablet Hand Bag witleekComfort™ 13”," KSh3,000"
Promate Limber-SB Liet Sleeve with Frontghtweight 13″ Tabl," KSh2,500"
HP Pavilion x360 Conxvertible ," KSh90,000"
HP 14s DQ," KSh94,000"
Thomson NEO – 15.," KSh20,000"
HP ENVY x360 ," KSh100,000"
HP 15S-FQ," KSh55,000"
Lenovo IdeaPad 1 ," KSh50,000"
Lenovo IdeaPad 3 ," KSh88,000"
