,Street Address,City Address,Number of Bedrooms,Selling Price
0,GEMINI,Westlands,1 & 2 Bedrooms,
1,EMERALD,Westlands,1 & 2 Bedrooms,"Ksh. 8,300,000"
2,Garden Residency,Kilimani,"1, 2 & 3 Bedrooms",
3,Vers residency ,Kileleshwa,"1, 2 & 3 Bedroom","Ksh. 7,800,000"
4,Ivy Residency,Kileleshwa,"1, 2, 3 & 4 Bedrooms",
5,Crystal Residency,Kileleshwa,"3, 4 & 5 Bedrooms","Ksh. 6,800,000"
6,Dorn Residency,Kileleshwa,"1, 2 & 3 Bedrooms",
7,Purple Residences,Westlands,"1, 2 & 3 Bedrooms","Ksh. 6,000,000"
8,Rhapta Residency,Westlands,1 & 2 Bedrooms,
9,Gem Residences,Westlands,1 & 2 Bedrooms,"Ksh. 7,300,000"
10,City homes,Westlands,2 & 3 Bedroom,
11,Jade Residence,Kilimani,3 Bedroom,"Ksh. 24,000,000"
12,Capital Residence,Kilimani,2 & 3 Bedrooms,
13,Pard Residence,Kilimani,1 & 2 Bedrooms,"Ksh. 5,700,000"
14,Comfort Residence,Kileleshwa,4 Bedrooms,
15,Misty Residence,Westlands,1 & 2 Bedrooms,"Ksh. 7,000,000"
16,VENUS,Kileleshwa,4 Bedroom,
17,Marina Residency,Westlands,1 & 2 Bedrooms,"Ksh. 7,800,000"
18,Golden Residency,Kilimani,"1, 2 & 3 Bedrooms",
19,CAPRICORN ,Kilimani,"1, 2 & 3 Bedroom","Ksh. 6,800,000"
20,Nandi Residency,Kileleshwa,"1, 2, 3 & 4 Bedrooms",
21,Ambra Apartments ,Kileleshwa,1 & 2 Bedrooms,"Ksh. 12,000,000"
22,Classic Residency,Kilimani,1 & 2 Bedrooms,
23,Legends Reside,Kilimani,"2, 3, 4 & 5 Bedroom Apartments ","Ksh. 16,000,000"
24,Star Residence ,Kilimani ,2 Bedrooms ,
25,Siaya Apartments ,Kileleshwa ,2 Bedrooms,"Ksh. 9,100,000"
26,Mora Villas ,Lavington ,4 Bedroom ,
27,Alba Residence ,Kilimani ,"Studio, 1, 2 & 3 Bedrooms","Ksh. 7,000,000"
28,Harbour Residence,Kilimani ,2 & 3 Bedrooms,
29,Zanzi Residence ,Kilimani ,"2, 3 & 4 Bedroom ","Ksh. 22,000,000"
30,Aspire ,Lavington ,Town House ,
31,Platinum Residence ,Kileleshwa ,4 & 5 Bedroom ,"Ksh. 8,100,000"
32,Tune Residency ,Lavington ,1 & 2 Bedrooms,
33,Syna Homes,Kileleshwa,"3, 4 & 5 Bedroom","Ksh. 22,000,000"
34,Diamond Residency ,Kileleshwa,3 & 4 Bedroom,
35,Leleshwa Residency,Kileleshwa,1 & 2 Bedroom,"Ksh. 13,550,000"
36,Royal Residence,Lavington,4 & 5 Bedroom,
37,Riverside Residency,Riverside,2 & 3 Bedroom,"Ksh. 6,000,000"
38,,,,
39,,,,"Ksh. 8,500,000"
40,,,,
41,,,,"Ksh. 8,000,000"
42,,,,
43,,,,"Ksh. 70,000"
44,,,,
45,,,,"Ksh. 8,700,000"
46,,,,
47,,,,"Ksh. 12,500,000"
48,,,,
49,,,,"Ksh. 13,500,000"
50,,,,
51,,,,"Ksh. 13,500,000"
52,,,,
53,,,,"Ksh. 85,000,000"
54,,,,
55,,,,"Ksh. 7,000,000"
56,,,,
57,,,,"Ksh. 8,700,000"
58,,,,
59,,,,"Ksh. 14,500,000"
60,,,,
61,,,,"Ksh. 66,000,000"
62,,,,
63,,,,"Ksh. 28,000,000"
64,,,,
65,,,,"Ksh. 7,000,000"
66,,,,
67,,,,"Ksh. 35,000,000"
68,,,,
69,,,,"Ksh. 24,000,000"
70,,,,
71,,,,"Ksh. 7,000,000"
72,,,,
73,,,,"Ksh. 35,000,000"
74,,,,
75,,,,"Ksh. 12,000,000"
