House Description,Location,Selling price
PAVO RIVERSIDE | 1 Bedroom,"PAVO Riverside, Riverside Drive, Nairobi, Kenya","$74,250.00"
PAVO RIVERSIDE | Studio,"PAVO Riverside, Riverside Drive, Nairobi, Kenya","$57,684.00"
Symphony Residence | Lavington | Studio,"Riara Road, Nairobi, Kenya","$43,686.00"
Symphony Residence | Lavington | 2 Bedroom,"Riara Road, Nairobi, Kenya","$123,250.00"
Symphony Residence | Lavington | 3 Bedroom,"Riara Road, Nairobi, Kenya","$202,664.00"
Divine Residences by CityBlue | Riverside Drive | 2 Bedrooms,"Riverside Drive, Nairobi, Kenya","$196,009.00"
Wilma Towers | Kilimani | Studio,"Elgeyo Marakwet North, Nairobi, Kenya","$51,142.00"
Wilma Towers | Kilimani | 2 Bedroom,"Elgeyo Marakwet North, Nairobi, Kenya","$94,500.00"
Wilma Towers | Kilimani | 1 Bedroom,"Elgeyo Marakwet North, Nairobi, Kenya","$54,124.00"
Elite Residence | Westlands | 2 Bedroom,"Westlands Road, Nairobi, Kenya","$210,000.00"
